id,shortURI,URI,command
164,"http://t9w.sa.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/KOAZ-MVOM/","mkdir KOAZ-MVOM"
165,"http://t9w.sc.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/FX1O-ZW23/","mkdir FX1O-ZW23"
166,"http://t9w.sf.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/LL0Z-IQUF/","mkdir LL0Z-IQUF"
167,"http://t9w.sg.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/ERJ5-MMOY/","mkdir ERJ5-MMOY"
168,"http://t9w.si.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/U9R3-J7EH/","mkdir U9R3-J7EH"
169,"http://t9w.sk.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/U2WR-GJBJ/","mkdir U2WR-GJBJ"
170,"http://t9w.sm.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/I566-GGXK/","mkdir I566-GGXK"
171,"http://t9w.so.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/ENYB-5AO2/","mkdir ENYB-5AO2"
172,"http://t9w.sq.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/2JA0-73N2/","mkdir 2JA0-73N2"
173,"http://t9w.ss.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/UFTO-XBBA/","mkdir UFTO-XBBA"
174,"http://t9w.su.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/WSZL-6RX2/","mkdir WSZL-6RX2"
175,"http://t9w.sw.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/YIRF-1BQF/","mkdir YIRF-1BQF"
176,"http://t9w.sz.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/JNDN-1WOT/","mkdir JNDN-1WOT"
177,"http://t9w.t0.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/TBE8-1GA2/","mkdir TBE8-1GA2"
178,"http://t9w.t3.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/GJBA-VNQK/","mkdir GJBA-VNQK"
179,"http://t9w.t4.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/6K41-EIID/","mkdir 6K41-EIID"
180,"http://t9w.t7.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/4ACP-5N6E/","mkdir 4ACP-5N6E"
181,"http://t9w.t8.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/0HHF-UIQ3/","mkdir 0HHF-UIQ3"
182,"http://t9w.ta.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/RT1V-YZ19/","mkdir RT1V-YZ19"
183,"http://t9w.td.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/DJ24-4SUN/","mkdir DJ24-4SUN"
184,"http://t9w.te.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/GTWP-BBEI/","mkdir GTWP-BBEI"
185,"http://t9w.th.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/HBLG-H9O9/","mkdir HBLG-H9O9"
186,"http://t9w.ti.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/F8RO-22P1/","mkdir F8RO-22P1"
187,"http://t9w.tl.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/JA2L-JELK/","mkdir JA2L-JELK"
188,"http://t9w.tn.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/YUIT-E3KQ/","mkdir YUIT-E3KQ"
189,"http://t9w.to.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/YS7V-3HHM/","mkdir YS7V-3HHM"
190,"http://t9w.tr.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/RDVZ-EHC5/","mkdir RDVZ-EHC5"
